index,en,fr,de,es,it,kana,ko
0,The wall is bulging slightly. Try digging into it?,Le mur est un peu bombé. Voulez-vous essayer de creuser ?,Die Wand gibt leicht nach. Willst du versuchen da zu graben?,Algo abulta en el muro. ¿Quieres excavar en él?,Il muro è un po' sporgente. Vuoi provare a scavare?,,
1,The wall is bulging slightly.,Le mur est un peu bombé.,Die Wand gibt leicht nach.,Algo abulta en el muro.,Il muro è un po' sporgente.,,
2,It seems the rock could be mined. Try mining into it?,Le rocher semble pouvoir être miné. Voulez-vous essayer de miner ?,Es sieht so aus als könnte dieser Stein abgebaut werden. Möchtest du ihn abbauen?,Parece que la roca podría ser minada. ¿Quieres intentar minarla?,La roccia sembra estraibile. Vuoi provare ad estrarla?,,
3,It seems the rock could be mined.,Le rocher semble pouvoir être miné.,Es sieht so aus als könnte dieser Stein abgebaut werden.,Parece que la roca podría ser minada.,La roccia sembra estraibile.,,
4,Something pinged in the wall! [NB_ITEM] confirmed!,Ça sonne creux… Nombre d'objets confirmés : [NB_ITEM],Du bist auf etwas in der Wand gestoßen! [Nb_ITEM] bestätigt!,¡Se ha detectado algo en la pared! ¡Al menos hay [NB_ITEM] objetos!,Qualcosa ha tintinnato nel muro! Numero di oggetti confermati : [NB_ITEM],,
5,…,…,...,(...),…,,
6,Oh? There is a message hidden in the Explorer Kit.,Oh ? Il y a un message rangé dans l'Explorakit.,Oh ? Im Forschersack befindet sich eine Notiz.,¿Eh? Hay una nota en el Kit de Explorador.,Oh? C'è un messaggio nascosto nell'Esplorokit.,,
7,"""To exhume treasures!""","""Exhumer des Trésors !""","""Nach Schätzen und Sphären graben!""","""Búsqueda de tesoros y gemas.""","""Riesumare i tesori!""",,
8,I placed a pickaxe and a mace in your Explorer Kit!,J'ai placé un marteau et une pioche dans ton Explorakit !,In deinem Forschersack findest du einen Hammer und eine Spitzhacke!,He puesto un martillo y un pico en tu Kit de Explorador.,Ho messo un piccone e un martello nel tuo Esplorokit!,,
9,"I placed a pickaxe, a mace and some dynamites in your Explorer Kit!","J'ai placé un marteau, une pioche et de la dynamite dans ton Explorakit !","In deinem Forschersack findest du einen Hammer, eine Spitzhacke und ein wenig Dynamit!","He puesto un martillo, un pico y dinamita en tu Kit de Explorador.","Ho messo un piccone, un martello e della dinamite nel tuo Esplorokit!",,
10,"Using those, you can touch the walls to dig up various items!","En les utilisant, tu pourras toucher les murs pour déterrer divers objets !",Mit diesem Wekzeugen kannst du in Wänden wahre Schätze ausgraben!,Con ellos podrás picar en paredes para desenterrar tesoros.,"Usandoli, potrai toccare i muri per estrarre vari strumenti!",,
11,Try to dig up everything before the wall collapses!,Essaie de tout déterrer avant que le mur ne s'affaisse !,"Bestimmt holst du sie heraus, bevor die Wand einstürzt!",Intenta encontrarlos antes de que se derrumbe la pared.,Prova ad estrarre tutto prima che il muro crolli!,,
12,You can do it! Good luck youth!,"Tu peux le faire ! Bonne chance, la jeunesse !","Du schafft es! Viel Glück, Trainer!","¡Tú puedes! ¡Buena suerte, criatura!",Puoi farcela! Buona fortuna giovane!,,
13,The wall has collapsed!,Le mur s'est affaissé !,Die Wand ist eingestürzt!,¡El muro se ha derrumbado!,Il muro è crollato!,,
14,Everything has been dug up!,Tout a été déterré !,Du hast alle Gegenstände ausgegraben!,¡Se ha extraído todo!,È stato scavato tutto!,,
15,You obtain the item [NAME_ITEM].,Vous obtenez l'objet [NAME_ITEM].,Du hast das item [NAME_ITEM] erhalten.,¡Tienes: [NAME ITEM]!,Hai ottenuto l'oggetto [NAME_ITEM].,,
