Index,en,fr,de,es,it,kana,ko
0,New game,Nouvelle partie,Neues Spiel,Nueva partida,Nuova parte,New game,새로운 파티
1,,,,,,,
2,Palbolsky,Palbolsky,Palbolsky,Palbolsky,Palbolsky,パルボルスキ,Palbolsky
3,Yuri,Yuri,Yuri,Yuri,Yuri,ゆり,Yuri
4,,,,,,,
5,,,,,,,
6,: infos,: infos,: infos,: inform.,: infos,: infos,: infos
7,: search,: rechercher,: suche,: búsqueda,: search,: search,: search
8,: alt. list,: alt. liste,: alt. liste,: alt. list,: alt. list,: alt. list,: alt. list
9,: cancel,: retour,: zurück,: cancelar,: cancel,: cancel,: cancel
10,: habitat,: habitat,: habitate,: hábitat,: habitat,: habitat,: habitat
11,: forms,: formes,: formen,: formas,: forms,: forms,: forms
12,: cry,: cri,: ruf,: grito,: cry,: cry,: cry
13,: cancel,: retour,: zurück,: cancelar,: cancel,: cancel,: cancel
14,: infos,: infos,: infos,: infos,: infos,: infos,: infos
15,: sw. Pkmn,: éch. Pkmn,: tau. Pkmn,: cmb. Pkmn,: sw. Pkmn,: sw. Pkmn,: sw. Pkmn
16,: sw. item,: éch. objet,: tau. item,: cmb. obj.,: sw. item,: sw. item,: sw. item
17,: cancel,: retour,: zurück,: cancelar,: cancel,: cancel,: cancel
18,,,,,,,
19,Place,Lieu,Ort,Lugar,Place,Place,Place
20,SEEN:,VUS :,GESEHEN:,VISTOS:,SEEN:,SEEN:,SEEN:
21,OBTAINED:,PRIS :,ERHALTEN:,OBTEN.:,OBTAINED:,OBTAINED:,OBTAINED:
22,Erase,Effacer,Löschen,Borrar,Erase,Erase,Erase
23,Space,Espace,Space,Espacio,Space,Space,Space
24,Caps,Maj,Caps,Mayúsculas,Caps,Caps,Caps
25,Confirm,Valider,Confirm,Confirmar,Confirm,Confirm,Confirm
26,Exit,Quitter,Exit,Salir,Exit,Exit,Exit
27,Screen Size,Taille de l'écran,Screen Size,Tamaño de Pantalla,Screen Size,Screen Size,Screen Size
28,Change the game screen resolution.,Modifier la résolution de l'écran de jeu.,Change the game screen resolution.,Cambia la resolución de Pantalla.,Change the game screen resolution.,Change the game screen resolution.,Change the game screen resolution.
29,Volume,Volume,Volume,Volumen,Volume,Volume,Volume
30,Set the volume of the music and sound effects.,Modifie le volume sonore des musiques et effets sonores.,Set the volume of the music and sound effects.,Cambia el volumen del audio.,Set the volume of the music and sound effects.,Set the volume of the music and sound effects.,Set the volume of the music and sound effects.
31,Unknwon Zone,Zone Inconnue,Unknwon Zone,Zona Desconocida,Unknwon Zone,Unknwon Zone,Unknwon Zone
32,Next map,Carte suivante,Next map,Siguiente mapa,Next map,Next map,Next map
33,Zoom +/-,Zoom +/-,Zoom +/-,Aumentar +/-,Zoom +/-,Zoom +/-,Zoom +/-
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,Trainer Memo,Mémo Dresseur,Trainer Memo,Ficha de Entrenador,Trainer Memo,Trainer Memo,Trainer Memo
41,Infos,Info Pokémon,Infos,Info,Infos,Infos,Infos
42,Skills,Aptitudes,Skills,Habilidades,Skills,Skills,Skills
43,Moves,Capacités Combat,Moves,Movimientos,Moves,Moves,Moves
44,Ability,Cap. Spé.,Ability,Habilidad,Ability,Ability,Ability
45,Contests,Concours,Contests,Concursos,Contests,Contests,Contests
46,Ribbons,Rubans,Ribbons,Cintas,Ribbons,Ribbons,Ribbons
47,,,,,,,
48,Main quests,Quêtes principales,Main quests,Misiones principales,Main quests,Main quests,Main quests
49,"Side quests
",Quêtes secondaires,Secondary quests,Misiones secundarias,Secondary quests,Secondary quests,Secondary quests
50,Failed quests,Quêtes échouées,Failed quests,Misiones fallidas,Failed quests,Failed quests,Failed quests
51,Cancel,Retour,Cancel,Cancelar,Cancel,Cancel,Cancel
52,Find %{amount} %{item_name} (%{found}),Trouver %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Encuentra %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found})
53,Speak to %{name},Parler à %{name},Speak to %{name},Hablarle a %{name},Speak to %{name},Speak to %{name},Speak to %{name}
54,See a %{name},Voir un %{name},See a %{name},Ver un %{name},See a %{name},See a %{name},See a %{name}
55,Fight %{amount} %{name} (%{found}),Battre %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Pelea %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found})
